"g250m","dis_relig","dis_dentis","dis_groce","dis_gym","dis_hdware","dis_mall","dis_restrt","dis_school","pct_access","pct_ov30","rway","dis_exit","dis_subway","dis_crail","dis_bus","dis_parking","avgsw","pct_cur","pct_sw","popden","lumix","rdden","ndden","ndden_n3","ndden_n4","pct_n4","ujaccess","fac1_nw","fac2_connectivity","fac3_transit","fac4_auto","fac5_walk","community_","town_name","codas","pct_sch13","pct_owner","inc_med_hs","pct_pov","pct_white","pct_under5","pct_old65","pct_ov2car","inc_capita","pct_elsc_sch","pct_less3hsh","pct_labor","pct_unempl","f1_wealth","f2_children","f3_working","vmt_tot_mv","vin_mv","hh_mv","pop_mv","Walkscore","Walkscore.Desc","Transitscore","Transitscore.Desc","Bikescore","Bikescore.Desc","be_f1","be_f2","be_f3","be_f4","be_f5","be_f1_norm","dem_f1","dem_f2","dem_f3","res_ols_m1","res_ols_m2","res_ols_m3"
129640,1000,1000,559,2000,559,2061,1000,0,0,0,40.84731,1840,1186,1757,476,1809,10.78676,0.87264,0.89554,8755.55556,0.48886,17495.11111,115.55556,87.11111,21.33333,0.18461,504923.59447,0.0342,3.86054,-1.03861,-0.08394,1.94324,"Inner Core","Somerville",1,0.885196374622356,0.331877729257642,61250,0.192495921696574,0.948952879581152,0.0196335078534031,0.0693717277486911,0.109170305676856,18770,0.06265664160401,0.463302752293578,0.700399467376831,0.064638783269962,-0.369630823908861,-0.832275108652823,0.877620648323696,13379103,1422,1368,4925,76,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",11.182852,419746.5634101,-520.9560444,122178.9285617,7201.4531042,59.5276697846213,57823.2274829564,10888.0844592572,0.494349610641309,691.991445754966,309.560315420894,-927.920949094581
129641,1000,1000,500,2000,500,2015,1000,250,0,0,38.55096,1650,1164,1870,356,1928,8.56054,0.73901,0.77653,6803.55556,0.64687,16215.11111,87.11111,60.44444,16,0.18367,492467.86384,-0.3414,2.8125,-1.11769,-0.05214,1.4472,"Inner Core","Somerville",1,1,0.25,41750,0.485714285714286,0.720917822838847,0.00533617929562433,0.00266808964781217,0.1875,5230,0.0205784204671858,0.337349397590361,0.385609893198426,0.0510204081632653,-1.22456555696192,-0.346635941111187,-0.0941367031547628,6196878,667,692,3824,73,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",8.9754765,409510.7269872,-465.7012704,118543.6465812,6586.8978664,46.8859287608052,35859.0102851039,3034.69841871667,0.302363939426116,-1075.31051035564,-709.773343816493,-1952.49090082039
130433,1000,1000,250,2000,559,1581,1000,353,0,0,38.81005,1095,1188,1862,194,1232,8.85871,0.70944,0.73812,7063.11111,0.63273,13116.44444,119.11111,80,17.77778,0.14925,492129.51604,-0.35103,3.16999,-1.09853,-0.12636,1.31153,"Inner Core","Somerville",1,0.736111111111111,0.0413476263399694,31313,0.101328903654485,0.600465477114042,0.0899922420480993,0.208688906128782,0,20664,0.104631217838765,0.761904761904762,0.62215628090999,0.0556438791732909,-1.03738723104202,-1.07478213839083,-0.566145886854415,13654570,1472,1816,3973,83,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",9.1799615,408844.9783132,-299.004362,117848.7415493,5183.1014206,48.0570237617487,34763.2970171538,11986.4946843166,0.314117891709427,-1785.00875950543,-667.292584308614,-2132.76296105232
130434,1000,1000,0,2000,353,1677,1000,250,0,0,42.45486,1286,1169,1872,60,1380,11.54979,0.84276,0.85227,8476.44444,0.59988,14968.88889,120.88889,85.33333,19.55556,0.16176,507493.61265,-0.20668,3.6384,-0.99512,-0.0575,1.94211,"Inner Core","Somerville",1,0.893030794165316,0.304568527918782,42258,0.0794270833333333,0.900369003690037,0.031980319803198,0.141451414514145,0.0177664974619289,27901,0.054739652870494,0.742857142857143,0.729805013927577,0.0381679389312977,-0.214326022916162,-1.82012843914097,0.534255130459476,16774879,1820,2152,4768,86,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",11.7964125,421675.4284995,-353.5343064,122144.2069441,6284.2864186,63.0415589908044,46921.2187124935,16184.31656791,0.456312258665763,-713.7033268679,-242.372214694667,-1757.97756654758
130435,1000,1000,250,2000,250,1802,1000,353,0,0,45.97399,1495,1031,1915,128,1554,13.52526,0.94627,0.96428,9303.11111,0.37079,17171.55556,117.33333,90.66667,19.55556,0.16666,508632.69794,0.07201,3.8678,-1.02295,-0.00964,2.50665,"Inner Core","Somerville",1,0.851662404092072,0.269230769230769,53452,0.042711234911792,0.902205177372963,0.0345158197507191,0.13039309683605,0.108974358974359,26305,0.106463878326996,0.585648148148148,0.810436634717785,0.0157687253613666,0.0274751617374365,-1.0412067890737,0.828614040157924,18674804,1987,2153,5233,88,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",13.7475137,422832.7892902,-413.5597676,123096.3421915,7301.0293538,74.2156053103622,55126.3753276859,15258.3957189025,0.529410809116408,363.813314225886,145.345966889254,-1276.02381954343
130436,1000,1000,500,2000,353,1820,1000,250,0,0,44.94829,1715,942,1903,262,1747,12.63775,0.92315,0.94635,8339.55556,0.46765,17072,106.66667,81.77778,19.55556,0.18333,512873.60461,-0.01527,3.58816,-1.04345,-0.00391,2.33606,"Inner Core","Somerville",1,0.845238095238095,0.341207349081365,49886,0.243296921549156,0.866733466933868,0.0340681362725451,0.123246492985972,0.236220472440945,21414,0.0976303317535545,0.481994459833795,0.651162790697674,0.0419254658385093,-0.304143052152686,-0.326989528255824,-0.00961814803186056,15214986,1622,1572,4691,87,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",12.920916,426525.3118263,-480.3392996,123809.8636443,7124.352883,69.4816422604497,49974.6877212727,12421.4632169915,0.409659085613086,916.864514057099,969.620356988005,-507.525807945004
130437,1000,1000,750,2000,500,1767,1000,353,0,0,43.17452,1773,914,1858,373,1952,10.43287,0.84369,0.87261,6129.77778,0.51347,13959.11111,69.33333,51.55556,14.22222,0.20512,509920.16685,-0.27364,2.32966,-1.23685,4e-04,2.02418,"Inner Core","Somerville",1,0.906002265005662,0.33125,61500,0.144879267277269,0.789721317408614,0.0188201230546507,0.0376402461093015,0.13125,15876,0.0345580210985813,0.595528455284553,0.597127739984883,0.069620253164557,-0.469198307023337,-1.05954245347864,0.669785798151484,8312246,885,875,3444,83,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",10.8214874,424193.2584855,-499.0873648,121892.4717166,5410.0385184,57.4581180982975,56662.9960758217,9209.60549454084,0.439736705395151,-893.272069813155,-322.130773496763,-1689.52182725475
130439,1000,1000,559,2000,0,1767,1000,250,0,0,43.25525,1380,1052,1867,139,2389,10.43825,0.82318,0.83033,4272,0.69605,15904,67.55556,51.55556,10.66667,0.15789,492467.86384,-0.7089,1.8741,-1.08825,0.06931,1.91198,"Inner Core","Somerville",1,1,0.25,41750,0.485714285714286,0.720917822838847,0.00533617929562433,0.00266808964781217,0.1875,5230,0.0205784204671858,0.337349397590361,0.385609893198426,0.0510204081632653,-1.22456555696192,-0.346635941111187,-0.0941367031547628,7133491,744,653,2400,78,"Very Walkable",0,"No Nearby Transit",0,"Not Bikeable",10.7699697,409802.5069872,-381.12601,117839.0411777,6689.673131,57.1630738606756,35859.0102851039,3034.69841871667,0.302363939426116,-425.877421680647,453.790533091311,-930.676722574887
131229,1000,1000,353,2000,500,1346,1000,250,0,0,44.33517,938,990,2005,262,1028,9.60739,0.82981,0.84766,7575.11111,0.60577,15658.66667,115.55556,76.44444,16,0.13846,516067.42774,-0.31865,3.15607,-1.10904,0.00302,1.7828,"Inner Core","Cambridge",1,0.815555555555556,0.37751677852349,26976,0.0785582255083179,0.78859649122807,0.0298245614035088,0.287719298245614,0.0285234899328859,24805,0.122659176029963,0.809825673534073,0.522012578616352,0.0220883534136546,-0.288035210840545,-1.45091962162964,-1.9378998786603,14373092,1505,2094,4261,83,"Very Walkable",0,"No Nearby Transit",72,"Very Bikeable",10.052002,428815.3650242,-247.7052708,124041.0874595,6508.7666044,53.0512398175484,33240.410307705,14388.514557866,0.167828533598146,-1976.88043570856,-911.918885189043,-604.301952236604
131230,1000,1000,250,2000,250,1457,1000,0,0,0,43.92358,1156,986,1864,236,1201,12.1277,0.91803,0.9211,8968.88889,0.50477,16501.33333,122.66667,88.88889,16,0.13043,507493.61265,-0.20712,3.56955,-1.01114,-0.0232,2.28761,"Inner Core","Somerville",1,0.893030794165316,0.304568527918782,42258,0.0794270833333333,0.900369003690037,0.031980319803198,0.141451414514145,0.0177664974619289,27901,0.054739652870494,0.742857142857143,0.729805013927577,0.0381679389312977,-0.214326022916162,-1.82012843914097,0.534255130459476,16876902,1791,2436,5045,83,"Very Walkable",0,"No Nearby Transit",69,"Bikeable",12.4396897,421738.0584995,-313.4180792,122601.2661969,7087.7377144,66.7256371048025,46921.2187124935,16184.31656791,0.456312258665763,-1424.31375659239,-1246.57968922382,-876.244620630996
